(2, 'predicted header', '')
(2, 'predicted header', '')
(2, 'predicted header', '')
(2, 'predicted header', '')
(-1, 'text', '')
(-1, 'text', '')
(-2, 'textsmall', '')
(2, 'predicted header', '')
(-1, 'text', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-2, 'textsmall', '')
(-1, 'text', '')
(2, 'predicted header', '')
(2, 'predicted header', '')
(2, 'predicted header', '')
(2, 'predicted header', '')
(-1, 'text', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(2, 'predicted header', '')
(-1, 'text', '')
(0, 'part', 'parti')
(1, 'item', 'item1')
(3, 'predicted header', '')
(4, 'predicted header', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(4, 'predicted header', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(4, 'predicted header', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(5, 'predicted header', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(5, 'predicted header', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(5, 'predicted header', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(-1, 'text', '')
(5, 'predicted header', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(4, 'predicted header', '')
(5, 'predicted header', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(-1, 'text', '')
(5, 'predicted header', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(5, 'predicted header', '')
(-1, 'text', '')
(-1, 'text', '')
(3, 'predicted header', '')
(-1, 'text', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(-2, 'textsmall', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(-1, 'text', '')
(3, 'predicted header', '')
(-1, 'text', '')
(-1, 'text', '')
